TSI NanoScan SMPS Model 3910
Mode,Scan
Serial Number,3910161901
Last Calibrated,2022/03/15


dN (#/cm3)

File Index,Sample #,Date Time,11.5,15.4,20.5,27.4,36.5,48.7,64.9,86.6,115.5,154.0,205.4,273.8,365.2,Total Conc,Median (nm),Mean (nm),Geo Mean (nm),Mode (nm),GSD,Particle Density (g/cc),Firmware Version,Status
1,1,2024/2/14 7:41:47,62.0555,69.1907,53.3128,110.6712,138.7084,122.0448,82.1062,47.5995,20.9646,2.9221,0.0000,0.0000,0.0000,709.5757,36.5263,41.2087,34.4236,36.5174,1.8422,1.2000,1.4,Inlet flow error; Charger flow error; 
1,2,2024/2/14 7:42:47,65.8534,71.1285,39.9526,102.0543,142.4900,130.4071,83.6085,39.0466,14.9359,4.8759,0.0000,0.0000,0.0000,694.3530,37.0503,40.7732,34.1758,36.5174,1.8363,1.2000,1.4,Inlet flow error; Charger flow error; 
1,3,2024/2/14 7:43:47,47.7344,69.6006,59.8961,101.3675,126.6229,119.6251,89.7346,55.2510,21.9222,0.0000,0.0000,0.0000,0.0000,691.7544,37.6128,42.2425,35.4933,36.5174,1.8303,1.2000,1.4,Inlet flow error; Charger flow error; 
1,4,2024/2/14 7:44:47,70.6678,72.3530,43.1292,117.4726,149.1268,130.0978,90.3926,63.4386,35.5626,4.4034,0.0000,0.0000,0.0000,776.6444,38.0033,43.7294,36.0068,36.5174,1.8920,1.2000,1.4,Inlet flow error; Charger flow error; 
1,5,2024/2/14 7:45:47,59.8428,73.5955,55.0197,110.3354,149.9753,140.7717,93.4624,40.0511,2.5217,0.0000,0.0000,3.2611,6.4305,735.2673,36.8422,42.6750,34.4575,36.5174,1.8581,1.2000,1.4,Inlet flow error; Charger flow error; 
1,6,2024/2/14 7:46:47,68.9071,73.8292,56.1276,134.6687,161.4185,132.0087,84.3723,57.0276,39.8674,18.3006,0.0000,0.0000,0.0000,826.5279,37.2144,44.6874,36.2484,36.5174,1.9138,1.2000,1.4,Inlet flow error; Charger flow error; 
1,7,2024/2/14 7:47:47,58.0084,81.1893,63.2506,111.8169,150.5439,148.3435,110.1946,60.1127,16.8693,0.0000,0.0000,0.0000,0.4875,800.8169,38.0485,41.8195,35.3110,36.5174,1.8165,1.2000,1.4,Inlet flow error; Charger flow error; 
1,8,2024/2/14 7:48:47,58.7030,79.8485,54.1832,109.5456,142.2506,132.5208,95.1457,58.0824,25.3687,0.9582,0.0000,0.0000,0.0000,756.6067,37.6458,42.2324,35.3025,36.5174,1.8472,1.2000,1.4,Inlet flow error; Charger flow error; 
1,9,2024/2/14 7:49:47,75.8001,80.8290,47.8493,114.7027,143.1808,123.7180,85.9278,62.0242,42.3468,17.6500,0.0000,0.0000,0.0000,794.0288,37.7436,45.4091,36.2956,36.5174,1.9676,1.2000,1.4,Inlet flow error; Charger flow error; 
1,10,2024/2/14 7:50:47,60.0600,86.5988,64.4398,108.4313,128.9225,118.4008,92.2610,68.2439,37.8247,4.7651,0.0000,0.0000,0.0000,769.9478,37.3602,43.8939,35.7800,36.5174,1.9158,1.2000,1.4,Inlet flow error; Charger flow error; 
1,11,2024/2/14 7:51:47,64.5797,80.4918,65.5601,114.6680,138.6381,126.0124,94.6443,65.1910,35.1419,7.6084,0.0000,0.0000,0.0000,792.5358,37.4057,43.7732,35.7810,36.5174,1.9051,1.2000,1.4,Inlet flow error; Charger flow error; 
1,12,2024/2/14 7:52:47,58.9437,74.9490,50.6548,98.2938,128.4985,120.7707,86.8482,50.4879,17.1665,0.0000,0.0000,0.0000,0.0000,686.6132,36.9651,40.9758,34.3548,36.5174,1.8406,1.2000,1.4,Tilt error; Inlet flow error; Charger flow error; 
1,13,2024/2/14 7:53:47,78.3652,82.0973,57.9548,128.4703,161.5361,136.3393,82.8462,40.9991,18.7733,7.0592,0.0000,0.0000,0.0000,794.4407,35.2712,39.7773,33.1299,36.5174,1.8416,1.2000,1.4,Inlet flow error; Charger flow error; 
1,14,2024/2/14 7:54:47,77.2754,80.7613,55.6432,106.6525,143.8347,141.0861,108.5792,66.8539,22.7542,0.0000,0.0000,0.0000,0.0000,803.4405,37.9806,42.0567,34.9871,36.5174,1.8725,1.2000,1.4,Inlet flow error; Charger flow error; 
1,15,2024/2/14 7:55:47,72.9532,89.2600,58.8677,115.6765,152.1885,141.6276,98.3512,52.4804,12.8231,0.0000,0.0000,0.0000,3.6071,797.8351,36.3033,41.0827,33.7667,36.5174,1.8595,1.2000,1.4,Inlet flow error; Charger flow error; 
1,16,2024/2/14 7:56:47,70.5689,74.7459,58.3052,128.4293,161.7075,139.4186,88.8633,46.6151,18.6192,1.1915,0.0000,0.0000,0.0000,788.4644,36.0486,39.9707,33.7717,36.5174,1.8095,1.2000,1.4,Inlet flow error; Charger flow error; 
