Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330224703
Firmware Version,1.4
Calibration Date,2022/11/22
Protocol Name_Number,TEST_037
Test Start Time,14:05:37
Test Start Date,2024/02/12
Test Length [D:H:M:S],1:0:0:0
Sample Interval [H:M:S],0:1:0
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.000
DeadTime Correction Factor,1.000
Errors,Filter Warning
Number of Samples,1440
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
60,17583,4680,1269,302,155,102,39,39,37,31,27,7,13,6,1,4,8,0.180417,25.328,0.000,99.519,,,
120,17268,4546,1285,321,136,119,53,39,41,30,20,9,5,8,5,4,10,0.178441,25.426,0.000,99.520,,,
180,17306,4571,1312,312,133,126,45,42,25,28,15,9,3,7,6,1,5,0.179215,25.542,0.000,99.518,,,
240,17362,4680,1283,320,143,97,32,39,49,28,23,14,4,6,2,2,3,0.180584,25.652,0.000,99.524,,,
300,17278,4670,1280,296,145,121,45,42,45,29,24,16,7,7,4,3,3,0.179853,25.759,0.000,99.526,,,
360,17267,4582,1321,282,129,90,41,39,24,19,21,12,9,5,5,2,3,0.177343,25.858,0.000,99.541,,,
420,16868,4429,1237,293,115,82,46,48,23,21,17,7,6,4,3,3,3,0.172047,25.943,0.000,99.545,,,
480,16903,4314,1214,259,120,93,38,40,40,30,18,14,8,2,4,2,8,0.170257,26.055,0.000,99.543,,,
540,17739,4477,1199,272,107,94,33,39,29,21,17,18,10,3,7,4,6,0.177195,26.160,0.000,99.545,,,
600,17375,4502,1186,249,134,112,39,37,34,31,23,9,10,9,3,1,7,0.176273,26.260,0.000,99.545,,,
660,17414,4434,1194,242,133,91,43,41,37,32,20,9,9,2,4,2,9,0.174927,26.358,0.000,99.546,,,
720,19306,4707,1234,246,128,103,39,48,50,38,18,17,8,4,2,5,8,0.191894,26.456,0.000,99.546,,,
780,19558,4756,1177,236,112,90,40,48,39,23,11,13,7,5,4,6,6,0.191690,26.559,0.000,99.546,,,
840,19521,4936,1179,250,114,92,40,40,31,32,17,19,8,8,4,1,5,0.193299,26.649,0.000,99.546,,,
900,21316,5579,1259,288,123,87,42,30,32,31,16,12,11,8,6,2,3,0.213230,26.736,0.000,99.546,,,
960,20101,5014,1148,209,111,78,30,32,27,24,23,13,9,6,4,1,5,0.196044,26.826,0.000,99.546,,,
1020,21621,5713,1257,263,117,90,37,51,32,18,16,8,4,3,4,3,4,0.214648,26.904,0.000,99.548,,,
1080,22273,5560,1203,259,116,86,36,35,36,24,15,12,8,7,7,3,4,0.216520,26.993,0.000,99.550,,,
1140,22228,5267,1140,243,133,101,43,52,37,28,29,15,11,5,6,3,7,0.213856,27.079,0.000,99.555,,,
1200,20785,4957,1192,239,149,105,40,45,48,35,32,21,15,7,11,3,4,0.202673,27.166,0.000,99.559,,,
1260,20181,4734,1073,257,120,104,38,38,38,31,29,15,6,7,2,1,3,0.194311,27.242,0.000,99.562,,,
1320,19225,4553,968,226,129,93,38,50,37,32,26,19,13,5,10,3,7,0.185273,27.324,0.000,99.568,,,
1380,18565,4255,966,200,116,83,34,48,33,20,20,15,7,4,2,4,1,0.176326,27.399,0.000,99.568,,,
1440,17851,4059,892,217,105,82,55,47,33,24,22,14,10,8,3,4,5,0.169800,27.477,0.000,99.569,,,
1500,17529,4056,953,217,118,86,47,42,28,19,13,10,13,8,3,1,1,0.167919,27.561,0.000,99.571,,,
1560,17760,3905,966,272,145,91,26,49,30,31,13,11,6,2,0,2,5,0.168533,27.634,0.000,99.573,,,
1620,17044,3703,963,241,135,93,43,33,33,18,17,10,3,2,2,0,4,0.161883,27.704,0.000,99.575,,,
1680,16778,3799,931,226,137,101,40,41,30,24,20,16,6,4,4,0,2,0.160920,27.768,0.000,99.576,,,
1740,16866,4000,1029,239,156,118,44,47,26,26,21,10,8,4,2,0,2,0.165052,27.834,0.000,99.577,,,
1800,16641,3791,986,275,117,101,38,27,35,33,15,14,11,4,3,3,3,0.160762,27.905,0.000,99.576,,,
1860,16222,3643,881,219,120,94,39,41,47,25,22,16,7,6,3,5,3,0.154643,27.968,0.000,99.577,,,
1920,15935,3540,885,220,146,98,41,49,48,37,19,17,8,5,5,2,1,0.152882,28.043,0.000,99.578,,,
1980,15548,3595,901,245,134,136,61,68,55,49,41,19,19,5,4,9,8,0.152420,28.104,0.000,99.577,,,
2040,15111,3661,902,243,135,140,76,69,51,58,39,30,14,9,6,4,17,0.151379,28.169,0.000,99.578,,,
2100,15017,3471,889,235,138,112,41,41,63,35,23,12,6,8,9,7,9,0.146967,28.230,0.000,99.577,,,
2160,14863,3558,888,245,132,111,52,45,39,32,21,18,6,10,2,2,4,0.146270,28.287,0.000,99.578,,,
2220,14746,3578,999,251,142,94,48,40,36,25,17,9,6,3,5,2,2,0.146760,28.345,0.000,99.576,,,
2280,14786,3687,923,249,120,98,31,26,29,25,28,13,4,7,4,3,3,0.146866,28.403,0.000,99.577,,,
2340,15239,3848,1014,250,132,87,36,36,26,18,19,14,9,6,3,2,4,0.152205,28.460,0.000,99.578,,,
