Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330224703
Firmware Version,1.4
Calibration Date,2022/11/22
Protocol Name_Number,TEST_038
Test Start Time,15:47:41
Test Start Date,2024/02/13
Test Length [D:H:M:S],0:15:38:0
Sample Interval [H:M:S],0:1:0
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.000
DeadTime Correction Factor,1.000
Errors,Filter Warning
Number of Samples,938
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
60,45053,41200,40364,23671,20494,35502,20638,26953,30974,27492,21261,16525,11694,7170,5037,3289,2205,4.177832,34.593,0.000,100.646,,Filter Warning,
120,44770,41159,40491,23696,20438,35644,20613,26954,31166,27691,20922,16224,12010,6989,4937,3165,2184,4.187133,34.678,0.000,100.644,,Filter Warning,
180,39442,36098,35035,20488,17427,31331,18176,23647,27052,24050,18671,14204,10546,6236,4415,2773,1926,3.674757,34.711,0.000,100.646,,Filter Warning,
240,35950,33052,32301,18959,15969,28752,16746,21636,24534,21990,16861,12985,9495,5668,4045,2544,1701,3.364403,34.742,0.000,100.645,,Filter Warning,
300,35271,32283,31406,18512,15619,27812,15987,21088,24202,21333,16479,12768,9150,5553,3981,2474,1652,3.282262,34.768,0.000,100.649,,Filter Warning,
360,35817,32984,31739,18716,15898,28440,16585,21418,24416,21660,16473,12912,9306,5619,3953,2563,1724,3.333120,34.806,0.000,100.647,,Filter Warning,
420,35434,32365,31396,18525,15731,28035,16232,20908,24166,21191,16305,12732,9074,5306,3768,2466,1532,3.268919,34.821,0.000,100.649,,Filter Warning,
480,34578,31809,30762,18391,15312,27355,15911,20562,23544,20886,15775,12114,8888,5267,3544,2310,1591,3.192991,34.851,0.000,100.652,,Filter Warning,
540,33557,30690,29806,17610,14807,26497,15221,19758,22794,20096,15056,12026,8424,5070,3540,2290,1584,3.082372,34.888,0.000,100.654,,Filter Warning,
600,32103,29332,28332,16785,14142,25043,14551,18876,21412,19073,14570,11282,8099,4818,3272,2167,1458,2.926839,34.910,0.000,100.655,,Filter Warning,
660,31808,29181,28040,16338,13604,25015,14711,18513,21101,18672,14318,11013,7930,4789,3437,2043,1505,2.892783,34.937,0.000,100.663,,Filter Warning,
720,31209,28451,27536,16356,13532,24305,13853,18196,20706,18381,14213,11064,7880,4661,3276,2138,1518,2.845432,34.968,0.000,100.664,,Filter Warning,
