Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330152409
Firmware Version,1.4
Calibration Date,2022/09/23
Protocol Name_Number,TEST_003
Test Start Time,07:35:39
Test Start Date,2024/02/14
Test Length [D:H:M:S],0:7:13:0
Sample Interval [H:M:S],0:1:0
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,0.990
DeadTime Correction Factor,1.000
Errors,Filter Warning
Number of Samples,433
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
60,28148,9669,3602,1367,833,2000,882,1240,950,901,792,717,557,289,244,157,137,0.348087,13.595,0.000,100.636,,,
120,25683,8400,3325,1473,908,2271,1083,1343,1091,951,979,865,587,333,268,131,109,0.336748,13.821,0.000,100.625,,,
180,26158,8729,3377,1427,890,2184,948,1254,1100,911,889,778,556,287,236,154,105,0.336434,14.087,0.000,100.631,,,
240,26000,8549,3304,1465,841,2145,979,1300,978,878,881,823,533,287,210,171,96,0.331710,14.363,0.000,100.626,,,
300,25459,8506,3283,1382,838,2101,945,1204,983,916,781,743,548,305,222,169,103,0.326532,14.636,0.000,100.628,,,
360,25522,8439,3224,1403,869,2106,957,1272,1070,934,887,790,556,282,195,135,120,0.328548,14.935,0.000,100.631,,,
420,24966,8247,3333,1342,723,2059,960,1215,982,862,791,739,494,260,204,113,71,0.314408,15.225,0.000,100.631,,,
480,24844,8485,3310,1426,777,2223,907,1222,1007,839,841,731,528,278,178,136,68,0.318509,15.508,0.000,100.631,,,
540,25242,8732,4086,1813,1155,3110,1438,1896,1536,1407,1341,1076,714,388,304,183,123,0.376792,15.801,0.000,100.634,,,
600,25097,9170,4571,2296,1443,3880,1838,2408,1967,1748,1713,1473,972,536,400,266,193,0.428361,16.081,0.000,100.626,,,
660,25782,10122,5749,2899,1909,5594,2628,3357,2835,2541,2411,2019,1414,718,536,380,268,0.524280,16.362,0.000,100.625,,,
720,25672,10327,5949,3140,1966,5853,2698,3561,3002,2687,2532,2348,1579,848,603,460,295,0.545942,16.638,0.000,100.628,,,
780,26494,11027,6694,3541,2302,7084,3374,4545,3735,3369,3337,2840,1891,1044,806,576,410,0.628733,16.912,0.000,100.632,,,
840,26360,11148,6921,3698,2374,7412,3474,4617,3833,3531,3309,2940,2010,1050,786,574,380,0.639117,17.181,0.000,100.637,,,
900,25992,10912,6719,3627,2370,6972,3220,4302,3643,3374,3188,2712,1896,920,746,478,354,0.615042,17.447,0.000,100.634,,,
960,25546,10929,6636,3426,2384,6737,3245,4202,3690,3325,3057,2709,1778,923,643,485,298,0.604221,17.713,0.000,100.631,,,
1020,23002,7890,3142,1383,862,2018,1020,1200,985,846,812,718,485,249,175,116,79,0.301511,17.965,0.000,100.632,,,
1080,22032,7232,2710,1089,742,1548,669,956,718,622,599,499,329,181,105,64,46,0.261869,18.210,0.000,100.630,,,
1140,22578,7356,2779,1202,795,1567,737,1015,744,690,712,542,368,182,133,77,47,0.271690,18.462,0.000,100.631,,,
1200,22920,7913,3221,1366,1038,2064,980,1273,1000,915,837,786,518,294,175,151,91,0.306719,18.709,0.000,100.630,,,
1260,24768,9225,4522,2270,1711,3512,1642,2153,1899,1720,1688,1548,1032,570,459,304,226,0.422508,18.950,0.000,100.633,,,
