Partector SN 948
Firmware: rev 455
Hardware: rev 2.2
Calibration: 1.49, calibrated on 7.6.2023
Start: 22.6.2023 11:35:37
statistics: 84656 LDSAmin, 6473 min, 195213 pulses
settings: 800 AL, 0.81 F, 2.00 I, 0.00 Ilow, 5 P, 50 D, 0.7 DC, 2.0 T, 0 H, 1 Z, 1 V
settings 2: 5 PIDfreeze, 200 RHshutdown, 0 heater, 35 Tset, 0.00 offs1T, 0.00 offs2T, 360000 STinterval, 1 STon
settings 3:  0 RTCcal, 0 USBformat, 3 USBtransmit, 15 brightness, 127 contrast, 0 demo, 2023/06/07 clock set
environment: T 21.0...32.1, RH 8.0...88.3
time	LDSA	idiff	HV	EM	TEM	TEM-V	T	RH	bat	flow	error
1.0	735.25	0.0	799	-96.01	0	101	29.5	42	4.14	0.44	0
2.0	639.48	2.0	3807	118.15	0	91	29.5	34	4.15	0.45	0
3.0	678.42	0.0	800	-105.21	0	84	29.5	34	4.14	0.46	0
4.0	706.81	2.0	3807	119.55	0	76	29.5	34	4.14	0.47	0
5.0	643.45	0.0	799	-100.15	0	71	29.5	34	4.14	0.47	0
6.0	650.97	2.0	3811	104.51	0	66	29.5	34	4.14	0.46	0
7.0	650.45	0.0	799	-87.81	0	62	29.6	34	4.14	0.47	0
8.0	601.99	2.0	3811	106.53	0	58	29.6	34	4.15	0.47	0
9.0	657.34	0.0	800	-100.42	0	56	29.6	34	4.14	0.47	0
10.0	674.92	2.0	3814	116.39	0	52	29.6	33	4.14	0.47	0
11.0	652.25	0.0	799	-98.55	0	49	29.6	33	4.14	0.47	0
12.0	623.19	2.0	3814	112.95	0	45	29.6	33	4.15	0.47	0
13.0	597.27	0.0	800	-88.98	0	44	29.6	33	4.14	0.47	0
14.0	614.70	2.0	3814	106.07	0	41	29.6	33	4.14	0.48	0
15.0	668.79	0.0	800	-102.15	0	40	29.6	33	4.14	0.47	0
16.0	703.56	2.0	3815	129.86	0	37	29.6	33	4.14	0.47	0
17.0	709.01	0.0	802	-107.17	0	35	29.6	33	4.14	0.46	0
18.0	655.72	2.0	3815	137.78	0	33	29.7	33	4.14	0.47	0
19.0	654.90	0.0	799	-114.80	0	32	29.7	33	4.14	0.48	0
20.0	648.68	2.0	3818	119.27	0	29	29.7	33	4.15	0.47	0
21.0	631.92	0.0	800	-106.10	0	29	29.7	33	4.14	0.47	0
22.0	651.53	2.0	3819	115.01	0	26	29.7	33	4.15	0.46	0
23.0	645.93	0.0	800	-98.73	0	25	29.7	33	4.14	0.46	0
24.0	675.60	2.0	3818	112.65	0	24	29.7	33	4.15	0.46	0
25.0	693.34	0.0	800	-110.90	0	23	29.7	33	4.14	0.46	0
26.0	673.46	2.0	3821	122.51	0	21	29.7	32	4.14	0.46	0
27.0	696.32	0.0	799	-107.60	0	21	29.7	32	4.14	0.47	0
28.0	712.69	2.0	3818	121.04	1	1867	29.7	32	4.07	0.47	0
29.0	621.19	0.0	811	-100.60	1	1871	29.7	32	4.08	0.47	0
